======================
==> dynacell: Welcome!
======================

SVN revision-nr: 606
Starting time: Wed May 19 11:28:52 2021
Command line was: ./dynacell.64bit input.bs

==========================================
Input file:
 LigLigOverlap  0.4
 ProtLigOverlap  0.6
 RMSDwithHydrogens  no
 dc_modus  broadsampling
 ligandpdbfile  bs/ligand.pdb
 ligandtopologyfile  ligand.top
 ligandtype  small_molecule
 maxNrTries  100000
 maxdistancefromprotein  0.4
 numPoses  2000
 outputfile  bs/bs.log.out
 outputframefile  bs/bs.poses.pdb
 pdbfile  protein.pdb
 randomseed  123456
 rotate_ligand  yes
 rotationMode  randomized
 separateOutFiles  no
 subsetnonbonded  all
 topologyfile  protein.top
 translationDistance  0.4
 translation_mode  randomized
 useChargeGroups  no
 writeWholePose  no
==========================================

====================================================================================================================================================================================================
Starting Random Sampling
 Energies in kJ/mol, RMSD to initial pose in nm, Overlap (OL) without unit, PoseNr 0 is the starting structure, potential contains the solvent-energy-difference Total-(Subset+notSubset)
      PoseNr   torsion        improper       lj             coulomb        pair           solvent        solvSubset     solvNotSubset  potential      RMSD           MaxLigLigOL    AverageProtLigOL
 POSE   1130   1.163899e+02   6.427127e+00   7.080027e+03   5.842567e+02  -8.360237e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.155809e+03   6.391413e-01   3.394778e-01   2.234847e-01
 POSE   1131   1.422662e+02   6.427127e+00   1.050995e+04   3.938062e+02  -8.324137e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.042477e+04   7.238549e-01   3.394778e-01   1.413330e-01
 POSE   1132   1.187220e+02   6.427127e+00   4.532744e+04   5.924977e+02  -8.353262e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.541450e+04   1.501201e-01   3.394778e-01   3.490369e-01
 POSE   1133   1.230905e+02   6.427127e+00   4.117086e+04   6.987020e+02  -8.348703e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.136894e+04   4.450926e-01   3.394778e-01   2.498023e-01
 POSE   1134   1.380015e+02   6.427127e+00   2.046738e+04   7.819809e+02  -8.326940e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.076583e+04   6.128240e-01   3.394778e-01   2.119759e-01
 POSE   1135   1.313593e+02   6.427127e+00   6.072336e+04   6.017871e+02  -8.349963e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.083267e+04   5.444836e-01   3.394778e-01   2.448460e-01
 POSE   1136   1.309021e+02   6.427127e+00   2.592781e+03   5.207868e+02  -8.278985e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.627730e+03   5.815258e-01   3.394778e-01   2.076932e-01
 POSE   1137   1.145417e+02   6.427127e+00   6.213075e+03   5.783263e+02  -8.377762e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.279326e+03   5.277363e-01   3.394778e-01   2.252195e-01
 POSE   1138   1.278096e+02   6.427127e+00   4.698086e+02   5.947161e+02  -8.291950e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.742984e+02   7.345155e-01   3.394778e-01   6.494489e-02
 POSE   1139   1.354588e+02   6.427127e+00   8.306131e+04   5.606786e+02  -8.325740e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.313603e+04   5.263301e-01   3.394778e-01   2.260048e-01
 POSE   1140   1.262756e+02   6.427127e+00   8.816052e+03   5.461784e+02  -8.364378e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.863227e+03   6.028018e-01   3.394778e-01   2.567134e-01
 POSE   1141   1.301554e+02   6.427127e+00   3.290781e+04   5.375054e+02  -8.342157e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.295242e+04   5.270922e-01   3.394778e-01   2.052380e-01
 POSE   1142   1.324109e+02   6.427127e+00   3.882379e+03   4.506874e+02  -8.324224e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.844214e+03   6.975370e-01   3.394778e-01   1.446214e-01
 POSE   1143   1.389436e+02   6.427127e+00   2.794097e+02   5.154417e+02  -8.342591e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.106949e+02   6.740916e-01   3.394778e-01   1.237346e-01
 POSE   1144   1.307655e+02   6.427127e+00   2.486677e+04   5.339768e+02  -8.304551e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.491221e+04   4.994453e-01   3.394778e-01   1.596204e-01
 POSE   1145   1.333706e+02   6.427127e+00   8.730634e+04   6.012675e+02  -8.334367e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.741870e+04   4.245947e-01   3.394778e-01   4.143010e-01
 POSE   1146   1.262303e+02   6.427127e+00   1.606611e+03   5.506815e+02  -8.313380e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.663344e+03   6.988610e-01   3.394778e-01   1.406643e-01
 POSE   1147   1.315938e+02   6.427127e+00   1.491059e+02   5.925105e+02  -8.331070e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.512622e+02   5.002757e-01   3.394778e-01   1.095687e-01
 POSE   1148   1.263612e+02   6.427127e+00   1.804775e+03   5.457304e+02  -8.321669e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.855858e+03   5.558455e-01   3.394778e-01   2.274948e-01
 POSE   1149   1.167747e+02   6.427127e+00   6.090594e+04   5.330817e+02  -8.315457e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.093541e+04   4.037912e-01   3.394778e-01   3.890109e-01
 POSE   1150   1.376169e+02   6.427127e+00   1.091587e+05   6.069294e+02  -8.335039e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.092809e+05   6.248854e-01   3.394778e-01   3.536740e-01
 POSE   1151   1.400526e+02   6.427127e+00   2.154850e+03   4.418118e+02  -8.334994e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.114374e+03   6.491034e-01   3.394778e-01   1.996260e-01
 POSE   1152   1.316741e+02   6.427127e+00  -6.191914e-01   4.326293e+02  -8.333955e+02   0.000000e+00   0.000000e+00   0.000000e+00  -5.855217e+01   7.781439e-01   3.394778e-01   4.100195e-02
 POSE   1153   1.285473e+02   6.427127e+00   6.882937e+03   6.625539e+02  -8.364454e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.048752e+03   6.343202e-01   3.394778e-01   2.128167e-01
 POSE   1154   1.388458e+02   6.427127e+00   2.595901e+04   4.759695e+02  -8.282437e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.595674e+04   7.252642e-01   3.394778e-01   2.145496e-01
 POSE   1155   1.210879e+02   6.427127e+00   2.829636e+04   6.271390e+02  -8.322483e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.842350e+04   6.754680e-01   3.394778e-01   3.125426e-01
 POSE   1156   1.319466e+02   6.427127e+00   3.086872e+04   4.912028e+02  -8.309021e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.087213e+04   4.567921e-01   3.394778e-01   2.990122e-01
 POSE   1157   1.202654e+02   6.427127e+00   8.961216e+04   4.524865e+02  -8.366542e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.955941e+04   6.993308e-01   3.394778e-01   2.658388e-01
 POSE   1158   1.229885e+02   6.427127e+00   1.627442e+02   4.919663e+02  -8.375062e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.513518e+02   7.247909e-01   3.394778e-01   1.302079e-01
 POSE   1159   1.277262e+02   6.427127e+00   2.887104e+04   5.997224e+02  -8.313794e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.897826e+04   2.936166e-01   3.394778e-01   3.244077e-01
 POSE   1160   1.133115e+02   6.427127e+00   2.656881e+04   7.015207e+02  -8.364611e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.675834e+04   6.928748e-01   3.394778e-01   2.844176e-01
 POSE   1161   1.223013e+02   6.427127e+00   3.987040e+03   6.740200e+02  -8.312858e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.163235e+03   5.807245e-01   3.394778e-01   1.618534e-01
 POSE   1162   1.249376e+02   6.427127e+00   1.778346e+04   5.692794e+02  -8.360184e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.785282e+04   6.047283e-01   3.394778e-01   4.177079e-01
 POSE   1163   1.267975e+02   6.427127e+00   2.856907e+04   6.792916e+02  -8.319991e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.875432e+04   5.816097e-01   3.394778e-01   3.386725e-01
 POSE   1164   1.166929e+02   6.427127e+00   4.950857e+04   4.854273e+02  -8.318847e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.948996e+04   5.487507e-01   3.394778e-01   2.893084e-01
 POSE   1165   1.412818e+02   6.427127e+00   6.810480e+04   5.923610e+02  -8.301692e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.821944e+04   4.453852e-01   3.394778e-01   4.277810e-01
 POSE   1166   1.232311e+02   6.427127e+00   7.319935e+03   5.371097e+02  -8.360171e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.355418e+03   6.864912e-01   3.394778e-01   1.906434e-01
 POSE   1167   1.397747e+02   6.427127e+00   1.340719e+04   6.058773e+02  -8.318470e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.353215e+04   5.171516e-01   3.394778e-01   1.963555e-01
 POSE   1168   1.311246e+02   6.427127e+00   1.495479e+04   5.916743e+02  -8.343311e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.505442e+04   7.291935e-01   3.394778e-01   3.619350e-01
 POSE   1169   1.122277e+02   6.427127e+00   6.685580e+04   6.202418e+02  -8.379216e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.696151e+04   7.238716e-01   3.394778e-01   2.252884e-01
 POSE   1170   1.387548e+02   6.427127e+00   2.806496e+04   5.842451e+02  -8.334445e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.816567e+04   5.778987e-01   3.394778e-01   4.159192e-01
 POSE   1171   1.408543e+02   6.427127e+00   7.152347e+04   4.558608e+02  -8.315909e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.149975e+04   6.685179e-01   3.394778e-01   3.417947e-01
 POSE   1172   1.269010e+02   6.427127e+00   4.654256e+03   4.774573e+02  -8.361296e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.633644e+03   6.648170e-01   3.394778e-01   1.792365e-01
 POSE   1173   1.288230e+02   6.427127e+00   5.521127e+03   5.612411e+02  -8.353070e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.587043e+03   6.111225e-01   3.394778e-01   2.811465e-01
 POSE   1174   1.167600e+02   6.427127e+00   2.207980e+03   5.412194e+02  -8.352855e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.241833e+03   6.689710e-01   3.394778e-01   1.934911e-01
 POSE   1175   1.139409e+02   6.427127e+00   3.927607e+03   5.249733e+02  -8.332786e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.944402e+03   6.543198e-01   3.394778e-01   1.421554e-01
 POSE   1176   1.280705e+02   6.427127e+00   8.170482e+04   5.820038e+02  -8.304257e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.179563e+04   4.991381e-01   3.394778e-01   5.218535e-01
 POSE   1177   1.288754e+02   6.427127e+00   1.430293e+05   5.029829e+02  -8.339726e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.430383e+05   6.532475e-01   3.394778e-01   4.455171e-01
 POSE   1178   1.284898e+02   6.427127e+00   2.083654e+05   5.647116e+02  -8.356973e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.084340e+05   5.946938e-01   3.394778e-01   3.074737e-01
 POSE   1179   1.203014e+02   6.427127e+00   1.685482e+05   5.152869e+02  -8.316878e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.685632e+05   5.279068e-01   3.394778e-01   2.544021e-01
 POSE   1180   1.288631e+02   6.427127e+00   1.793377e+03   5.549795e+02  -8.319815e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.856397e+03   6.943588e-01   3.394778e-01   1.230649e-01
 POSE   1181   1.199082e+02   6.427127e+00   4.081161e+04   5.062151e+02  -8.315707e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.081733e+04   6.176510e-01   3.394778e-01   2.178928e-01
 POSE   1182   1.139798e+02   6.427127e+00   4.479289e+03   5.057097e+02  -8.322846e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.477853e+03   7.328940e-01   3.394778e-01   1.810949e-01
 POSE   1183   1.298701e+02   6.427127e+00   9.792658e+03   5.497616e+02  -8.355143e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.847934e+03   5.482836e-01   3.394778e-01   2.947746e-01
 POSE   1184   1.190216e+02   6.427127e+00   2.438964e+03   5.581938e+02  -8.328314e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.494507e+03   2.604506e-01   3.394778e-01   8.969499e-02
 POSE   1185   1.207235e+02   6.427127e+00   1.689123e+04   5.091571e+02  -8.354458e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.689682e+04   7.268399e-01   3.394778e-01   2.309207e-01
 POSE   1186   1.300387e+02   6.427127e+00   4.471344e+02   4.065280e+02  -8.308660e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.639940e+02   7.823125e-01   3.394778e-01   6.444026e-02
 POSE   1187   1.288524e+02   6.427127e+00   1.260982e+03   6.069213e+02  -8.285640e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.379351e+03   4.083485e-01   3.394778e-01   1.515561e-01
 POSE   1188   1.318661e+02   6.427127e+00   3.248619e+04   5.721703e+02  -8.285150e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.257287e+04   5.297925e-01   3.394778e-01   1.923501e-01
 POSE   1189   1.362514e+02   6.427127e+00   1.707703e+05   6.021188e+02  -8.324739e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.708873e+05   5.961399e-01   3.394778e-01   3.260752e-01
 POSE   1190   1.384861e+02   6.427127e+00   1.735963e+04   5.429746e+02  -8.330090e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.741925e+04   7.030531e-01   3.394778e-01   2.785055e-01
 POSE   1191   1.163351e+02   6.427127e+00   5.214752e+03   4.908113e+02  -8.318936e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.201164e+03   7.411693e-01   3.394778e-01   2.252601e-01
 POSE   1192   1.329238e+02   6.427127e+00   3.434780e+04   4.704934e+02  -8.315127e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.433086e+04   6.511083e-01   3.394778e-01   3.540215e-01
 POSE   1193   1.288021e+02   6.427127e+00   1.320573e+03   6.653371e+02  -8.321467e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.493725e+03   4.408644e-01   3.394778e-01   1.543225e-01
 POSE   1194   1.275853e+02   6.427127e+00   1.203851e+04   4.878693e+02  -8.358779e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.202924e+04   6.460376e-01   3.394778e-01   2.361283e-01
 POSE   1195   1.327879e+02   6.427127e+00   1.270781e+04   5.371766e+02  -8.352954e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.275364e+04   5.027230e-01   3.394778e-01   2.446223e-01
 POSE   1196   1.341617e+02   6.427127e+00   7.352568e+02   4.777808e+02  -8.309663e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.273920e+02   7.288095e-01   3.394778e-01   1.545599e-01
 POSE   1197   1.186305e+02   6.427127e+00   1.738231e+04   5.890285e+02  -8.366920e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.746444e+04   6.464889e-01   3.394778e-01   2.332112e-01
 POSE   1198   1.430371e+02   6.427127e+00   1.788756e+04   4.842220e+02  -8.329540e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.789303e+04   6.685077e-01   3.394778e-01   1.346368e-01
 POSE   1199   1.386302e+02   6.427127e+00   1.298696e+05   5.546414e+02  -8.308395e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.299432e+05   7.440858e-01   3.394778e-01   2.762249e-01
 POSE   1200   1.332874e+02   6.427127e+00   2.162896e+05   4.637174e+02  -8.297087e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.162681e+05   5.996172e-01   3.394778e-01   4.102520e-01
 POSE   1201   1.255426e+02   6.427127e+00   1.521103e+05   5.855618e+02  -8.341825e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.521984e+05   5.362599e-01   3.394778e-01   2.436060e-01
 POSE   1202   1.389365e+02   6.427127e+00   2.479406e+04   5.040719e+02  -8.331263e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.481510e+04   6.699580e-01   3.394778e-01   3.107231e-01
 POSE   1203   1.306888e+02   6.427127e+00   5.301730e+02   4.873396e+02  -8.347950e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.245653e+02   6.007733e-01   3.394778e-01   1.667671e-01
 POSE   1204   1.278765e+02   6.427127e+00   1.189805e+05   7.167593e+02  -8.357628e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.192005e+05   5.804956e-01   3.394778e-01   2.743559e-01
 POSE   1205   1.428175e+02   6.427127e+00   7.775871e+03   6.053617e+02  -8.328841e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.902325e+03   6.179756e-01   3.394778e-01   1.665385e-01
 POSE   1206   1.191822e+02   6.427127e+00   1.767732e+05   6.603167e+02  -8.368920e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.769270e+05   5.240521e-01   3.394778e-01   2.564883e-01
 POSE   1207   1.192155e+02   6.427127e+00   4.154281e+04   5.130316e+02  -8.318926e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.155433e+04   6.702420e-01   3.394778e-01   3.954979e-01
 POSE   1208   1.281419e+02   6.427127e+00   7.020790e+04   5.346074e+02  -8.346150e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.024720e+04   5.641896e-01   3.394778e-01   2.802055e-01
 POSE   1209   1.247535e+02   6.427127e+00   1.902621e+04   4.678146e+02  -8.340545e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.899589e+04   6.187570e-01   3.394778e-01   3.227858e-01
 POSE   1210   1.319286e+02   6.427127e+00   9.820504e+04   5.682399e+02  -8.302610e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.828611e+04   5.853474e-01   3.394778e-01   3.797793e-01
 POSE   1211   1.254738e+02   6.427127e+00   8.801390e+02   5.568262e+02  -8.363070e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.372910e+02   5.607842e-01   3.394778e-01   1.502009e-01
 POSE   1212   1.429214e+02   6.427127e+00   7.071146e+04   5.796920e+02  -8.296284e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.081561e+04   5.940748e-01   3.394778e-01   3.334776e-01
 POSE   1213   1.320038e+02   6.427127e+00   4.058085e+04   5.523157e+02  -8.339393e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.064239e+04   5.206006e-01   3.394778e-01   2.008635e-01
 POSE   1214   1.201981e+02   6.427127e+00   6.993239e+02   4.811245e+02  -8.344556e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.773499e+02   7.483103e-01   3.394778e-01   1.188353e-01
 POSE   1215   1.262927e+02   6.427127e+00   3.487642e+04   5.067269e+02  -8.352585e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.488534e+04   3.825333e-01   3.394778e-01   3.619518e-01
 POSE   1216   1.342222e+02   6.427127e+00   1.197148e+05   5.841715e+02  -8.311311e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.198132e+05   3.544352e-01   3.394778e-01   2.647578e-01
 POSE   1217   1.313533e+02   6.427127e+00   9.289489e+03   5.292202e+02  -8.340410e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.327181e+03   5.814917e-01   3.394778e-01   2.750896e-01
 POSE   1218   1.338421e+02   6.427127e+00   5.319531e+04   4.921582e+02  -8.319037e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.320056e+04   6.844462e-01   3.394778e-01   2.851857e-01
 POSE   1219   1.337707e+02   6.427127e+00   6.311503e+03   5.562289e+02  -8.309494e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.381712e+03   6.448632e-01   3.394778e-01   1.711979e-01
 POSE   1220   1.247989e+02   6.427127e+00   4.876230e+04   5.573547e+02  -8.315074e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.882410e+04   6.359415e-01   3.394778e-01   3.336039e-01
 POSE   1221   1.376483e+02   6.427127e+00   8.442019e+03   4.951428e+02  -8.335531e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.452416e+03   7.436479e-01   3.394778e-01   1.872062e-01
 POSE   1222   1.280835e+02   6.427127e+00   1.567997e+03   4.430681e+02  -8.356388e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.514669e+03   6.998067e-01   3.394778e-01   1.942545e-01
 POSE   1223   1.312332e+02   6.427127e+00   1.012096e+05   5.023404e+02  -8.349344e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.012194e+05   5.705869e-01   3.394778e-01   5.513199e-01
 POSE   1224   1.211763e+02   6.427127e+00   3.387805e+03   5.354711e+02  -8.296985e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.425913e+03   7.129546e-01   3.394778e-01   1.871502e-01
 POSE   1225   1.133245e+02   6.427127e+00   1.123363e+04   5.903342e+02  -8.380269e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.131043e+04   5.399002e-01   3.394778e-01   2.701403e-01
 POSE   1226   1.458937e+02   6.427127e+00   3.843546e+04   5.527376e+02  -8.315092e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.851374e+04   7.063267e-01   3.394778e-01   3.291874e-01
 POSE   1227   1.382457e+02   6.427127e+00   5.302641e+02   5.578486e+02  -8.334292e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.040882e+02   6.024310e-01   3.394778e-01   1.045175e-01
 POSE   1228   1.268527e+02   6.427127e+00   4.703307e+04   5.447691e+02  -8.347837e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.708107e+04   6.033894e-01   3.394778e-01   3.625114e-01
 POSE   1229   1.187084e+02   6.427127e+00   6.177961e+04   6.270766e+02  -8.303876e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.190617e+04   5.982407e-01   3.394778e-01   2.488487e-01
 POSE   1230   1.169758e+02   6.427127e+00   7.348028e+02   4.413992e+02  -8.361984e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.681384e+02   7.931876e-01   3.394778e-01   1.535778e-01
 POSE   1231   1.171398e+02   6.427127e+00   8.297308e+03   5.571550e+02  -8.322722e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.350490e+03   7.895921e-01   3.394778e-01   1.750538e-01
 POSE   1232   1.397255e+02   6.427127e+00   1.550518e+04   4.789200e+02  -8.335026e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.550149e+04   5.188287e-01   3.394778e-01   3.002741e-01
 POSE   1233   1.357077e+02   6.427127e+00   7.625858e+03   4.304291e+02  -8.301633e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.572990e+03   7.885449e-01   3.394778e-01   1.414968e-01
 POSE   1234   1.406793e+02   6.427127e+00   1.392397e+04   4.995237e+02  -8.302033e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.394513e+04   7.057954e-01   3.394778e-01   2.487669e-01
 POSE   1235   1.335137e+02   6.427127e+00   7.765926e+04   6.290233e+02  -8.313954e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.780156e+04   7.425378e-01   3.394778e-01   2.212812e-01
 POSE   1236   1.157931e+02   6.427127e+00   5.959770e+04   5.233558e+02  -8.367374e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.961127e+04   7.194233e-01   3.394778e-01   2.197996e-01
 POSE   1237   1.187997e+02   6.427127e+00   6.811711e+03   5.477653e+02  -8.376629e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.851773e+03   4.142409e-01   3.394778e-01   2.017427e-01
 POSE   1238   1.320965e+02   6.427127e+00   1.533817e+05   4.673170e+02  -8.358284e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.533565e+05   5.318513e-01   3.394778e-01   4.789713e-01
 POSE   1239   1.222220e+02   6.427127e+00   3.783072e+03   5.137407e+02  -8.309674e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.799227e+03   7.326323e-01   3.394778e-01   2.512318e-01
 POSE   1240   1.360034e+02   6.427127e+00   1.993244e+05   3.929401e+02  -8.338508e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.992307e+05   5.923350e-01   3.394778e-01   4.172013e-01
 POSE   1241   1.338255e+02   6.427127e+00   4.185573e+04   5.591324e+02  -8.323966e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.192746e+04   6.937038e-01   3.394778e-01   3.787106e-01
 POSE   1242   1.208741e+02   6.427127e+00   7.031857e+03   4.318595e+02  -8.315952e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.964155e+03   6.591586e-01   3.394778e-01   2.354302e-01
 POSE   1243   1.295319e+02   6.427127e+00   5.918170e+03   4.305063e+02  -8.307294e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.858638e+03   7.034731e-01   3.394778e-01   2.152785e-01
 POSE   1244   1.361541e+02   6.427127e+00   1.562430e+04   4.564597e+02  -8.315282e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.559655e+04   6.794825e-01   3.394778e-01   2.914830e-01
 POSE   1245   1.308679e+02   6.427127e+00   4.806900e+04   4.344693e+02  -8.343652e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.801113e+04   6.065849e-01   3.394778e-01   3.388316e-01
 POSE   1246   1.295494e+02   6.427127e+00   4.764426e+03   5.126885e+02  -8.304156e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.787408e+03   7.269051e-01   3.394778e-01   1.969018e-01
 POSE   1247   1.199292e+02   6.427127e+00   5.931326e+04   5.915296e+02  -8.320858e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.940379e+04   6.652983e-01   3.394778e-01   3.559259e-01
 POSE   1248   1.170336e+02   6.427127e+00   5.685483e+04   5.512293e+02  -8.362058e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.689804e+04   5.653321e-01   3.394778e-01   3.142991e-01
 POSE   1249   1.354365e+02   6.427127e+00   1.318525e+05   6.412981e+02  -8.319686e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.320084e+05   6.465639e-01   3.394778e-01   3.858949e-01
 POSE   1250   1.163664e+02   6.427127e+00   8.170288e+03   4.873017e+02  -8.331525e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.151963e+03   7.558844e-01   3.394778e-01   3.774216e-01
 POSE   1251   1.173519e+02   6.427127e+00   4.454419e+04   5.214923e+02  -8.369580e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.455723e+04   6.734505e-01   3.394778e-01   1.934231e-01
 POSE   1252   1.162179e+02   6.427127e+00   1.670813e+05   5.799651e+02  -8.381732e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.671505e+05   4.804376e-01   3.394778e-01   3.908712e-01
 POSE   1253   1.156520e+02   6.427127e+00   8.432423e+04   5.395878e+02  -8.312814e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.435935e+04   5.955563e-01   3.394778e-01   3.214596e-01
 POSE   1254   1.209260e+02   6.427127e+00   8.194415e+04   4.826211e+02  -8.354539e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.192340e+04   5.408525e-01   3.394778e-01   3.614511e-01
 POSE   1255   1.257406e+02   6.427127e+00   3.361101e+04   6.402294e+02  -8.280364e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.376010e+04   5.151145e-01   3.394778e-01   2.680380e-01
 POSE   1256   1.304146e+02   6.427127e+00   4.054557e+03   6.197043e+02  -8.312807e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.184554e+03   6.358908e-01   3.394778e-01   2.060495e-01
