======================
==> dynacell: Welcome!
======================

SVN revision-nr: 606
Starting time: Wed May 19 11:28:52 2021
Command line was: ./dynacell.64bit input.bs

==========================================
Input file:
 LigLigOverlap  0.4
 ProtLigOverlap  0.6
 RMSDwithHydrogens  no
 dc_modus  broadsampling
 ligandpdbfile  bs/ligand.pdb
 ligandtopologyfile  ligand.top
 ligandtype  small_molecule
 maxNrTries  100000
 maxdistancefromprotein  0.4
 numPoses  2000
 outputfile  bs/bs.log.out
 outputframefile  bs/bs.poses.pdb
 pdbfile  protein.pdb
 randomseed  123456
 rotate_ligand  yes
 rotationMode  randomized
 separateOutFiles  no
 subsetnonbonded  all
 topologyfile  protein.top
 translationDistance  0.4
 translation_mode  randomized
 useChargeGroups  no
 writeWholePose  no
==========================================

====================================================================================================================================================================================================
Starting Random Sampling
 Energies in kJ/mol, RMSD to initial pose in nm, Overlap (OL) without unit, PoseNr 0 is the starting structure, potential contains the solvent-energy-difference Total-(Subset+notSubset)
      PoseNr   torsion        improper       lj             coulomb        pair           solvent        solvSubset     solvNotSubset  potential      RMSD           MaxLigLigOL    AverageProtLigOL
 POSE     47   1.254753e+02   6.427127e+00   3.447218e+04   5.040157e+02  -8.365648e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.447626e+04   6.739061e-01   3.394778e-01   2.876452e-01
 POSE     48   1.328355e+02   6.427127e+00   1.499140e+03   5.629378e+02  -8.336781e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.572395e+03   5.539741e-01   3.394778e-01   2.096676e-01
 POSE     49   1.272649e+02   6.427127e+00   4.748596e+04   6.611411e+02  -8.368545e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.764867e+04   7.748663e-01   3.394778e-01   2.959259e-01
 POSE     50   1.298247e+02   6.427127e+00   9.356884e+04   5.821390e+02  -8.323927e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.365957e+04   5.534396e-01   3.394778e-01   2.624764e-01
 POSE     51   1.248759e+02   6.427127e+00   5.744760e+04   5.820665e+02  -8.368009e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.752890e+04   2.856016e-01   3.394778e-01   2.061343e-01
 POSE     52   1.244534e+02   6.427127e+00   9.402611e+04   5.732620e+02  -8.364150e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.409857e+04   6.626621e-01   3.394778e-01   3.290342e-01
 POSE     53   1.218293e+02   6.427127e+00   1.854879e+04   6.197951e+02  -8.317024e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.866987e+04   7.134646e-01   3.394778e-01   3.225304e-01
 POSE     54   1.169721e+02   6.427127e+00   3.008157e+03   4.094038e+02  -8.372538e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.908438e+03   5.553733e-01   3.394778e-01   1.320375e-01
 POSE     55   1.289695e+02   6.427127e+00   1.686132e+03   4.944017e+02  -8.309682e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.689694e+03   7.258033e-01   3.394778e-01   1.995998e-01
 POSE     56   1.419903e+02   6.427127e+00   3.328477e+03   6.830366e+02  -8.313749e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.533288e+03   5.782612e-01   3.394778e-01   2.296013e-01
 POSE     57   1.170055e+02   6.427127e+00   2.982467e+03   5.397376e+02  -8.330072e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.017362e+03   4.263885e-01   3.394778e-01   1.883399e-01
 POSE     58   1.326388e+02   6.427127e+00   4.760949e+03   5.615321e+02  -8.280977e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.838181e+03   6.880564e-01   3.394778e-01   1.723613e-01
 POSE     59   1.280483e+02   6.427127e+00   1.086845e+04   5.160720e+02  -8.317542e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.089198e+04   6.341263e-01   3.394778e-01   1.806295e-01
 POSE     60   1.198935e+02   6.427127e+00   6.244368e+04   5.524437e+02  -8.324613e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.249471e+04   5.586498e-01   3.394778e-01   1.916493e-01
 POSE     61   1.333722e+02   6.427127e+00   4.556652e+04   5.340306e+02  -8.325178e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.561256e+04   6.551621e-01   3.394778e-01   3.350611e-01
 POSE     62   1.294734e+02   6.427127e+00   1.546031e+04   4.847520e+02  -8.286316e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.545706e+04   5.733529e-01   3.394778e-01   2.426758e-01
 POSE     63   1.359573e+02   6.427127e+00   5.746111e+04   5.746674e+02  -8.317555e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.755114e+04   6.353632e-01   3.394778e-01   2.498895e-01
 POSE     64   1.312536e+02   6.427127e+00   2.537084e+05   5.516978e+02  -8.315779e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.537709e+05   6.276423e-01   3.394778e-01   5.236385e-01
 POSE     65   1.363000e+02   6.427127e+00   1.473011e+05   5.728408e+02  -8.321308e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.473893e+05   7.337717e-01   3.394778e-01   3.351291e-01
 POSE     66   1.355187e+02   6.427127e+00   3.458582e+04   5.967001e+02  -8.321616e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.469704e+04   5.975983e-01   3.394778e-01   3.775540e-01
 POSE     67   1.255676e+02   6.427127e+00   1.622157e+03   5.848634e+02  -8.312367e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.712510e+03   4.371293e-01   3.394778e-01   1.537847e-01
 POSE     68   1.364260e+02   6.427127e+00   5.588293e+04   5.567174e+02  -8.317056e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.595553e+04   6.314464e-01   3.394778e-01   3.310742e-01
 POSE     69   1.317772e+02   6.427127e+00   7.550783e+03   6.004787e+02  -8.337985e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.660400e+03   6.951870e-01   3.394778e-01   1.216412e-01
 POSE     70   1.322139e+02   6.427127e+00   7.185942e+04   4.997342e+02  -8.317208e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.187081e+04   6.713646e-01   3.394778e-01   2.449515e-01
 POSE     71   1.266703e+02   6.427127e+00   3.621046e+04   5.764848e+02  -8.314085e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.629336e+04   5.785623e-01   3.394778e-01   3.468256e-01
 POSE     72   1.381677e+02   6.427127e+00   5.182638e+04   4.782714e+02  -8.307572e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.182322e+04   6.821067e-01   3.394778e-01   1.768050e-01
 POSE     73   1.267229e+02   6.427127e+00   1.113480e+05   6.977587e+02  -8.320229e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.115516e+05   5.039634e-01   3.394778e-01   3.416813e-01
 POSE     74   1.305656e+02   6.427127e+00   1.563431e+04   4.391963e+02  -8.351100e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.558012e+04   5.684899e-01   3.394778e-01   2.849941e-01
 POSE     75   1.302810e+02   6.427127e+00   2.725830e+02   6.536245e+02  -8.284664e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.391811e+02   5.807404e-01   3.394778e-01   1.414188e-01
 POSE     76   1.339178e+02   6.427127e+00   1.831909e+04   5.523677e+02  -8.332511e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.838329e+04   5.244378e-01   3.394778e-01   2.011801e-01
 POSE     77   1.166324e+02   6.427127e+00   2.477390e+04   5.381018e+02  -8.376799e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.480211e+04   5.692886e-01   3.394778e-01   3.390781e-01
 POSE     78   1.396943e+02   6.427127e+00   6.663293e+03   5.298157e+02  -8.320388e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.711923e+03   3.244321e-01   3.394778e-01   1.799609e-01
 POSE     79   1.230245e+02   6.427127e+00   2.262554e+04   4.461652e+02  -8.361364e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.256975e+04   6.561314e-01   3.394778e-01   3.658296e-01
 POSE     80   1.332547e+02   6.427127e+00   1.720036e+04   7.001120e+02  -8.317192e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.741316e+04   6.035571e-01   3.394778e-01   2.959955e-01
 POSE     81   1.386581e+02   6.427127e+00   8.268198e+04   4.663836e+02  -8.321337e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.266604e+04   3.997566e-01   3.394778e-01   4.724973e-01
 POSE     82   1.195551e+02   6.427127e+00   8.818382e+02   6.032711e+02  -8.347470e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.810765e+02   5.544612e-01   3.394778e-01   1.832821e-01
 POSE     83   1.193568e+02   6.427127e+00   8.547661e+03   6.446630e+02  -8.352071e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.687632e+03   5.398953e-01   3.394778e-01   2.096046e-01
 POSE     84   1.181239e+02   6.427127e+00   1.436163e+04   5.669579e+02  -8.357930e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.442207e+04   2.609428e-01   3.394778e-01   1.170278e-01
 POSE     85   1.252325e+02   6.427127e+00   8.588266e+02   5.817126e+02  -8.315680e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.453628e+02   7.077325e-01   3.394778e-01   1.705406e-01
 POSE     86   1.282195e+02   6.427127e+00   5.031862e+03   4.805314e+02  -8.309463e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.020826e+03   7.731135e-01   3.394778e-01   1.479149e-01
 POSE     87   1.249533e+02   6.427127e+00   2.763762e+03   5.137856e+02  -8.292396e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.784420e+03   4.876348e-01   3.394778e-01   2.998281e-01
 POSE     88   1.200008e+02   6.427127e+00   8.157878e+03   5.601929e+02  -8.304447e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.218786e+03   5.909563e-01   3.394778e-01   1.954869e-01
 POSE     89   1.195838e+02   6.427127e+00   5.659212e+04   5.645285e+02  -8.292396e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.665815e+04   4.352760e-01   3.394778e-01   2.643698e-01
 POSE     90   1.215885e+02   6.427127e+00   5.922936e+04   4.922730e+02  -8.331903e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.922119e+04   7.304572e-01   3.394778e-01   3.310744e-01
